230403, 과실류, 사과, 미얀마, 1, 0, 269.5
230403, 과채류, 오이, 백다다기, 1, 0, 291.66666
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 과실류, 사과, 미얀마, 1, 0, 114.5
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 장희, 1, 0, 380.0
230403, 엽경채류, 기타, 엽경채류, 1, 0, 155.0
230403, 과실류, 사과, 미얀마, 1, 0, 243.0
230403, 과채류, 호박, 애호박, 1, 0, 100.0
230403, 과실류, 사과, 미얀마, 1, 0, 195.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 400.0
230403, 과실류, 사과, 미얀마, 1, 0, 269.5
230403, 과실류, 사과, 미시마, 1, 0, 350.0
230403, 과채류, 오이, 백다다기, 1, 0, 288.8889
230403, 과실류, 사과, 미얀마, 1, 0, 249.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과채류, 호박, 애호박, 1, 0, 131.25
230403, 과실류, 사과, 미얀마, 1, 0, 214.5
230403, 과실류, 사과, 후지, 1, 0, 190.0
230403, 과실류, 사과, 미얀마, 1, 0, 220.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과채류, 호박, 애호박, 1, 0, 156.25
230403, 과실류, 사과, 기타사과, 1, 0, 290.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 36.0
230403, 과실류, 사과, 미얀마, 1, 0, 255.5
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 과채류, 호박, 애호박, 1, 0, 137.5
230403, 과실류, 사과, 미얀마, 1, 0, 225.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 700.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 390.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 300.0
230403, 과실류, 사과, 미얀마, 1, 0, 273.0
230403, 과채류, 호박, 애호박, 1, 0, 181.25
230403, 과실류, 블루베리, 블루베리, 1, 0, 4050.0
230403, 과실류, 사과, 미얀마, 1, 0, 279.5
230403, 과일과채류, 참외, 오복, 1, 0, 460.0
230403, 서류, 고구마, 밤고구마, 1, 0, 95.0
230403, 과채류, 호박, 애호박, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
