230403, 과실류, 사과, 미시마, 1, 0, 50.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 2800.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 570.0
230403, 서류, 감자, 기타감자, 1, 0, 375.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 490.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 235.29411
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 760.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 엽경채류, 쑥, 쑥, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 220.0
230403, 서류, 고구마, 기타, 1, 0, 168.0
230403, 엽경채류, 배추, 쌈배추, 1, 0, 100.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 500.0
230403, 엽경채류, 배추, 쌈배추, 1, 0, 235.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 250.0
230403, 엽경채류, 어린잎, 어린잎채소, 1, 0, 900.0
230403, 엽경채류, 상추, 청상추, 1, 0, 325.0
230403, 과실류, 만감, 천혜향, 1, 0, 633.3333
230403, 과일과채류, 딸기, 설향, 1, 0, 275.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 230.0
230403, 과실류, 만감, 영귤, 1, 0, 322.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 416.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 225.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 535.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 560.0
230403, 과채류, 호박, 애호박, 1, 0, 231.25
230403, 과실류, 사과, 미얀마, 1, 0, 315.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 엽경채류, 상추, 청상추, 1, 0, 350.0
230403, 엽경채류, 상추, 청상추, 1, 0, 350.0
230403, 엽경채류, 상추, 청상추, 1, 0, 350.0
230403, 과실류, 사과, 미얀마, 1, 0, 353.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1700.0
230403, 과실류, 사과, 미얀마, 1, 0, 298.0
230403, 엽경채류, 머위대, 생머위대, 1, 0, 600.0
230403, 과실류, 감귤, 천혜향, 1, 0, 617.7778
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 940.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 750.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 750.0
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 과실류, 사과, 후지, 1, 0, 180.0
