230403, 과실류, 참다래(키위), 기타참다래, 1, 0, 240.0
230403, 과실류, 참다래(키위), 기타참다래, 1, 0, 140.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과실류, 사과, 미얀마, 1, 0, 299.0
230403, 과실류, 사과, 미시마, 1, 0, 70.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1230.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 200.0
230403, 과실류, 사과, 후지, 1, 0, 140.0
230403, 과실류, 만감, 진지향, 1, 0, 536.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 300.0
230403, 과실류, 참다래(키위), 참다래, 1, 0, 300.0
230403, 조미채소류, 대파, 대파, 1, 0, 80.0
230403, 과실류, 만감, 기타만감, 1, 0, 700.0
230403, 과채류, 오이, 백다다기, 1, 0, 300.0
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 과일과채류, 수박, 기타수박, 1, 0, 325.0
230403, 과일과채류, 참외, 오복, 1, 0, 510.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 300.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 352.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 550.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 233.33333
230403, 과일과채류, 토마토, 토마토, 1, 0, 294.0
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 600.0
230403, 과실류, 만감, 진지향, 1, 0, 566.6667
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 참외, 오복, 1, 0, 430.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 490.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 298.0
230403, 과일과채류, 참외, 오복, 1, 0, 430.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 725.0
230403, 과실류, 사과, 미시마, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 300.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 490.0
230403, 조미채소류, 홍고추, 홍고추, 1, 0, 860.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 423.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 550.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 460.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 490.0
230403, 과실류, 금감, 금감, 1, 0, 560.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 483.33334
230403, 과실류, 배, 신고, 1, 0, 80.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 440.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 서류, 고구마, 기타, 1, 0, 77.0
230403, 과실류, 사과, 미시마, 1, 0, 300.0
230403, 과실류, 사과, 후지, 1, 0, 325.0
230403, 과일과채류, 참외, 오복, 1, 0, 700.0
230403, 과채류, 오이, 가시오이, 1, 0, 320.0
230403, 엽경채류, 쑥갓, 쑥갓, 1, 0, 125.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
230403, 과일과채류, 참외, 참외, 1, 0, 366.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 오복, 1, 0, 443.0
230403, 조미채소류, 마늘, 깐마늘 대서, 1, 0, 630.0
230403, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 470.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 630.0
230403, 과실류, 사과, 미얀마, 1, 0, 340.0
230403, 과실류, 사과, 미시마, 1, 0, 250.0
230403, 엽경채류, 머위대, 머위잎, 1, 0, 375.0
230403, 조미채소류, 생강, 기타생강, 1, 0, 1050.0
230403, 엽경채류, 깻잎, 깻단, 1, 0, 427.5
230403, 엽경채류, 깻잎, 깻단, 1, 0, 427.5
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과실류, 사과, 미얀마, 1, 0, 80.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 230.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 360.0
230403, 엽경채류, 쌈추, 쌈추, 1, 0, 830.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1020.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1333.3334
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 560.0
230403, 서류, 고구마, 기타, 1, 0, 70.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 448.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 170.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 75.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 360.0
230403, 과채류, 오이, 백다다기, 1, 0, 250.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 75.0
230403, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 160.0
230403, 과실류, 만감, 영귤, 1, 0, 330.0
230403, 과일과채류, 딸기, 설향, 1, 0, 930.0
230403, 근채류, 당근, 당근, 0, 0, 60.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 730.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 680.0
230403, 과실류, 사과, 후지, 1, 0, 340.0
류, 호박, 애호박, 1, 0, 156.25
채소류, 풋고추, 청양, 1, 0, 410.0
230403, 과채류, 가지, 가지, 1, 0, 400.0
채류, 미나리, 미나리, 1, 0, 460.0
230403, 과일과채류, 딸기, 설향, 1, 0, 930.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1800.0
채소류, 풋고추, 청양, 1, 0, 300.0
230403, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 267.5
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 딸기, 장희, 1, 0, 700.0
류, 호박, 애호박, 1, 0, 162.5
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 참외, 참외, 1, 0, 430.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 340.0
230403, 조미채소류, 대파, 대파, 1, 0, 158.0
230403, 산채류, 마, 생장마, 1, 0, 272.0
류, 오이, 백다다기, 1, 0, 260.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 360.0
류, 호박, 애호박, 1, 0, 250.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 430.0
230403, 엽경채류, 배추, 저장배추, 1, 0, 58.333332
230403, 과채류, 오이, 가시오이, 1, 0, 342.0
230403, 엽경채류, 배추, 저장배추, 1, 0, 58.333332
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
류, 호박, 애호박, 1, 0, 162.5
채소류, 풋고추, 청양, 1, 0, 410.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 950.0
230403, 엽경채류, 배추, 저장배추, 1, 0, 58.333332
230403, 과일과채류, 수박, 수박, 1, 0, 313.33334
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 660.0
채류, 미나리, 미나리, 1, 0, 310.0
230403, 과채류, 호박, 애호박, 1, 0, 296.25
230403, 엽경채류, 배추, 저장배추, 1, 0, 58.333332
230403, 과실류, 감귤, 카라향, 1, 0, 466.66666
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 560.0
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 340.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 460.0
230403, 엽경채류, 열무, 열무, 1, 0, 90.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 400.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 310.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 과채류, 호박, 애호박, 1, 0, 303.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 양채류, 적채, 적채, 1, 0, 75.0
