230403, 산채류, 두릅, 땅두릅, 1, 0, 780.0
230403, 과채류, 오이, 취청, 1, 0, 276.0
230403, 양채류, 셀러리(양미나리), 셀러리, 1, 0, 100.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 115.0
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 330.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 452.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1550.0
230403, 근채류, 연근, 연근, 1, 0, 182.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1440.0
230403, 엽경채류, 열무, 열무, 1, 0, 90.0
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 250.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 489.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1440.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 600.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 484.0
230403, 산채류, 두릅, 건두릅, 1, 0, 791.6667
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 510.0
230403, 조미채소류, 방아, 방아, 1, 0, 37.5
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 295.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 530.0
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 과채류, 오이, 가시오이, 1, 0, 245.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 350.0
230403, 과채류, 오이, 취청, 1, 0, 200.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 560.0
230403, 과실류, 사과, 기타사과, 1, 0, 275.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 52.0
230403, 과실류, 사과, 후지, 1, 0, 105.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 429.82455
230403, 서류, 고구마, 기타, 1, 0, 85.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 670.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 602.0
230403, 서류, 고구마, 기타, 1, 0, 135.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1350.0
230403, 과실류, 사과, 미얀마, 1, 0, 174.5
230403, 과실류, 사과, 미얀마, 1, 0, 330.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과실류, 사과, 미얀마, 1, 0, 234.5
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과실류, 사과, 미얀마, 1, 0, 349.5
230403, 엽경채류, 청경채, 청경채, 1, 0, 112.5
230403, 엽경채류, 청경채, 청경채, 1, 0, 112.5
230403, 과실류, 사과, 미얀마, 1, 0, 231.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 640.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 750.0
230403, 조미채소류, 풋고추, 롱그린, 1, 0, 600.0
230403, 과채류, 오이, 취청, 1, 0, 276.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 130.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 520.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1025.0
230403, 과실류, 감귤, 천혜향, 1, 0, 166.66667
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 425.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 256.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 750.0
230403, 조미채소류, 생강, 생강, 1, 0, 1056.0
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 250.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1080.0
230403, 산채류, 새싹, 새싹, 1, 0, 400.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 엽경채류, 배추, 월동배추, 1, 0, 70.0
230403, 과일과채류, 딸기, 설향, 1, 0, 580.0
230403, 과채류, 오이, 백다다기, 1, 0, 326.66666
230403, 과실류, 사과, 미시마, 1, 0, 210.0
230403, 과실류, 사과, 후지, 1, 0, 313.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 230.0
230403, 과실류, 감귤, 천혜향, 1, 0, 566.6667
230403, 엽경채류, 기타, 엽경채류, 1, 0, 500.0
230403, 양채류, 셀러리(양미나리), 셀러리, 1, 0, 130.0
230403, 조미채소류, 양파, 양파, 1, 0, 115.17242
230403, 엽경채류, 시금치, 시금치, 1, 0, 270.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1295.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
230403, 과일과채류, 참외, 금싸라기, 1, 0, 400.0
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 270.0
230403, 엽경채류, 달래, 달래, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 200.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 480.0
230403, 엽경채류, 상추, 청상추, 1, 0, 387.5
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1395.0
230403, 과채류, 오이, 백다다기, 1, 0, 266.66666
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1500.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1420.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 800.0
230403, 과일과채류, 딸기, 장희, 1, 0, 460.0
230403, 엽경채류, 상추, 청상추, 1, 0, 400.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 과일과채류, 딸기, 설향, 1, 0, 525.0
230403, 엽경채류, 상추, 청상추, 1, 0, 400.0
230403, 산채류, 두릅, 건두릅, 1, 0, 791.6667
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 조미채소류, 방아, 방아, 1, 0, 37.5
230403, 엽경채류, 미나리, 미나리, 1, 0, 210.0
230403, 과실류, 감귤, 비가림감귤, 1, 0, 280.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1440.0
230403, 과일과채류, 딸기, 설향, 1, 0, 725.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과채류, 호박, 애호박, 1, 0, 358.33334
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 260.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 477.0
230403, 산채류, 기타, 산채류, 1, 0, 2510.0
230403, 과실류, 오렌지, 청견, 1, 0, 169.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
230403, 과실류, 배, 신고, 1, 0, 370.0
230403, 과채류, 오이, 백다다기, 1, 0, 320.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 920.0
230403, 과채류, 오이, 가시오이, 1, 0, 245.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 260.0
230403, 근채류, 알타리무, 알타리무, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 조미채소류, 대파, 대파, 1, 0, 147.0
230403, 양채류, 로메인, 통로메인, 1, 0, 405.0
230403, 버섯류, 양송이, 양송이, 1, 0, 1000.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 150.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 242.0
230403, 과채류, 오이, 가시오이, 1, 0, 254.0
230403, 과실류, 바나나, 바나나, 0, 0, 261.53845
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 450.0
230403, 버섯류, 표고버섯, 생표고, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1800.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 380.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 520.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 464.0
230403, 과실류, 참다래(키위), 골드키위, 1, 0, 500.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 540.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 680.0
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 460.0
230403, 과일과채류, 딸기, 장희, 1, 0, 800.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 440.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 500.0
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 185.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1180.0
230403, 과일과채류, 딸기, 설향, 1, 0, 820.0
230403, 과채류, 오이, 백다다기, 1, 0, 140.0
230403, 과실류, 배, 신고, 1, 0, 170.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
230403, 과일과채류, 딸기, 천사, 1, 0, 760.0
230403, 과실류, 배, 신고, 1, 0, 170.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 200.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 46.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 590.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 403.50876
230403, 과채류, 오이, 취청, 1, 0, 250.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과실류, 사과, 미얀마, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과실류, 사과, 미얀마, 1, 0, 310.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 329.5
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 195.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1480.0
230403, 과채류, 오이, 백다다기, 1, 0, 350.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1400.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과실류, 감귤, 천혜향, 1, 0, 177.77777
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과실류, 감귤, 천혜향, 1, 0, 177.77777
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 400.0
230403, 엽경채류, 배추, 월동배추, 1, 0, 70.0
230403, 엽경채류, 기타, 엽경채류, 1, 0, 500.0
230403, 과일과채류, 참외, 참외, 1, 0, 388.0
230403, 엽경채류, 배추, 월동배추, 1, 0, 70.0
230403, 과채류, 오이, 취청, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 87.5
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 500.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 552.0
230403, 과채류, 오이, 취청, 1, 0, 320.0
