230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 246.0
230403, 과실류, 사과, 후지, 1, 0, 158.0
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 서류, 고구마, 밤고구마, 1, 0, 231.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 350.0
230403, 조미채소류, 대파, 대파, 1, 0, 145.0
230403, 과일과채류, 수박, 수박, 1, 0, 336.36365
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 330.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 490.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 212.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 440.0
230403, 과실류, 포도, 포도, 0, 0, 312.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 460.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 55.0
230403, 과채류, 호박, 단호박, 1, 0, 233.0
230403, 과일과채류, 참외, 오복, 1, 0, 420.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 455.0
230403, 과실류, 사과, 후지, 1, 0, 310.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 서류, 고구마, 밤고구마, 1, 0, 125.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 150.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 440.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 660.0
230403, 과채류, 오이, 가시오이, 1, 0, 259.0909
230403, 조미채소류, 대파, 대파, 1, 0, 145.0
230403, 과실류, 배, 신고, 1, 0, 133.33333
230403, 과채류, 오이, 백다다기, 1, 0, 412.5
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 516.6667
230403, 과일과채류, 딸기, 설향, 1, 0, 370.0
230403, 과실류, 감귤, 천혜향, 1, 0, 500.0
230403, 과일과채류, 딸기, 설향, 1, 0, 410.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 372.0
