230403, 과일과채류, 참외, 참외, 1, 0, 420.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 147.5
230403, 과일과채류, 참외, 노랑참외, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 860.0
230403, 과실류, 사과, 미시마, 1, 0, 188.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 147.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과일과채류, 수박, 수박, 1, 0, 175.0
230403, 과일과채류, 참외, 오복, 1, 0, 520.0
230403, 과채류, 오이, 가시오이, 1, 0, 230.0
230403, 과실류, 만감, 진지향, 1, 0, 566.6667
230403, 과일과채류, 참외, 스마트꿀, 1, 0, 700.0
230403, 과실류, 금감, 금감, 1, 0, 510.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 450.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 270.0
230403, 과채류, 오이, 취청, 1, 0, 235.0
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과실류, 사과, 미얀마, 1, 0, 246.5
230403, 과실류, 사과, 후지, 1, 0, 130.0
230403, 과일과채류, 딸기, 금실, 1, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과실류, 사과, 미얀마, 1, 0, 139.5
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 농림가공, 차, 유자차, 1, 0, 325.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 420.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 400.0
230403, 조미채소류, 양파, 양파, 1, 0, 147.89473
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 320.0
230403, 서류, 고구마, 밤고구마, 1, 0, 116.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 엽경채류, 상추, 적상추, 1, 0, 307.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 582.0
230403, 과일과채류, 딸기, 설향, 1, 0, 660.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 410.0
230403, 과실류, 감귤, 천혜향, 1, 0, 511.1111
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 엽경채류, 열무, 열무, 1, 0, 86.666664
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 180.0
230403, 산채류, 두릅, 건두릅, 1, 0, 1660.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과채류, 오이, 백다다기, 1, 0, 270.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 660.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 380.0
230403, 과채류, 오이, 백다다기, 1, 0, 270.0
230403, 조미채소류, 대파, 대파, 1, 0, 175.0
230403, 과채류, 오이, 백다다기, 1, 0, 270.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1200.0
230403, 과실류, 사과, 미얀마, 1, 0, 400.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 270.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 420.0
230403, 과실류, 사과, 기타사과, 1, 0, 150.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 658.0
230403, 과실류, 사과, 후지, 1, 0, 180.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 630.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1120.0
230403, 과일과채류, 딸기, 설향, 1, 0, 210.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 920.0
230403, 과실류, 사과, 후지, 1, 0, 132.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 284.6154
230403, 조미채소류, 풋고추, 청양, 1, 0, 433.0
230403, 과실류, 사과, 미얀마, 1, 0, 400.0
230403, 과채류, 오이, 취청, 1, 0, 370.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 284.6154
230403, 조미채소류, 풋고추, 청양, 1, 0, 412.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 413.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 과일과채류, 참외, 노랑참외, 1, 0, 450.0
230403, 과실류, 사과, 미시마, 1, 0, 188.0
