번호,재료명,아이템명,가격,아이템번호,마트번호
1,가다랑이포,이나바 챠오 츄르 SC-75 가다랑어/가다랑어포 14G*4P,2990,1,1
1,가다랑이포,하나 가쓰오 부시 500g/가다랑어포/오꼬노미야끼/타꼬야끼/팜피아,16900,2,1
1,가다랑이포,신마루쇼 가쓰오부시 40g 가다랑어포 가스오부시 육수,5600,3,1
1,가다랑이포,가쓰오부시 (40g),6980,1,2
1,가다랑이포,가쓰오부시 40g x 3개,12900,2,2
1,가다랑이포,신마루쇼 가쓰오부시 40g 가다랑어포 가스오부시 육수,5600,3,2
1,가다랑이포,이나바 야끼믹스 (가다랑어포&조개&오징어맛) (25G),2500,1,3
1,가다랑이포,이나바 캔 츄르 (가다랑어&가다랑어포) (56G),3500,2,3
1,가다랑이포,이나바 야끼믹스 (가다랑어포&오징어&치킨스프맛) (25G),2500,3,3
2,가래떡,아리울떡공방 굳지않는 모듬 앙금 가래떡 350G,5990,1,1
2,가래떡,씨제이 미정당 가래떡 떡볶이 400G,4490,2,1
2,가래떡,풀무원 순쌀 통가래떡 400G,2990,3,1
2,가래떡,쑥현미가래떡 (500g),7800,1,2
2,가래떡,현미귀리가래떡 (500g),6000,2,2
2,가래떡,[자연백미] 우리쌀로 만든 쫄깃한 가래떡 1kg+1kg (총 2kg),11500,3,2
2,가래떡,[모시장인]꽈배기 가래떡 딸기앙금 500g + 바나나앙금 500g,19900,1,3
2,가래떡,[모시장인] 바나나앙금 꽈배기 가래떡 500g 2팩,19900,2,3
2,가래떡,[모시장인] 바나나앙금 꽈배기 가래떡 500g,8900,3,3
3,가리비,홍가리비(국산) 100G,1150,1,1
3,가리비,[산지직송] 제철 홍가리비 1KG,2900,2,1
3,가리비,[산지직송] 남해바다 홍가리비 2kg(50미 내외),12900,3,1
3,가리비,[생물][국산] 통영 가리비 (1kg 팩포장),14800,1,2
3,가리비,[생물][국산] 남해안 홍가리비 (100g),790,2,2
3,가리비,[냉장] 푸짐한 온가족 조개모둠 (2.5kg내외) (칼국수면 증정),49800,3,2
3,가리비,홍가리비 (100G),499,1,3
3,가리비,매일 맘마밀 가리비와 두부 (100G),2680,2,3
3,가리비,[설해담] 속초젓갈 만나세트 2호 /낙지젓+창란젓+가리비/각220g,22500,3,3
4,가쓰오브시,가쓰오부시 (40g),6980,1,2
4,가쓰오브시,[마루사야]하나 가쯔오 60g,10580,2,2
4,가쓰오브시,[마루사야]하나 가쯔오 30g,7280,3,2
4,가쓰오브시,오뚜기 가쓰오부시장국 (360ML),3280,1,3
4,가쓰오브시,오뚜기 멸치국수장국 (360ML),3280,2,3
4,가쓰오브시,하나가쓰오 (50G),4990,3,3
5,가지,[산지직송] 보라빛 가지 특품 2kg,17900,1,1
5,가지,[산지직송] 보라빛 가지 특품 1kg,12900,2,1
5,가지,[참다올] 서울내 당일주문 및 수령! 가지 7개입,17900,3,1
5,가지,가지 2입(봉) 17cm이상,3480,1,2
5,가지,가지 (2입/봉),2580,2,2
5,가지,금주 신선계란 행사~40%▼,6784,3,2
5,가지,가지 (3입/봉),2990,1,3
5,가지,고래사 5가지 야채사각어묵 (300G),3780,2,3
5,가지,[우리가락] 가지 1개,3100,3,3
6,간마늘,초록들 국내산 간마늘 다진마늘 1kg,12500,1,1
6,간마늘,홈플러스시그니처_국내산냉동다진마늘_400G,6990,2,1
6,간마늘,풀무원 다진 마늘 260G (팩),8880,3,1
6,간마늘,A) 피코크 향이 진한 다진마늘 200g,4980,1,2
6,간마늘,가나 다진마늘(450G),8980,2,2
6,간마늘,풀무원 다진마늘 260g,8880,3,2
6,간마늘,CJ 다진 마늘 (250G),8680,1,3
6,간마늘,풀무원 다진마늘 (250G),8870,2,3
6,간마늘,가나 다진마늘 (250G),5580,3,3
7,간생강,초록들 국산 간생강 1kg 다진 생강,16800,1,1
7,간생강,초록들 국산 간생강 400g 다진 생강,8000,2,1
7,간생강,초록들 국산 간생강 250g 다진 생강,6000,3,1
7,간생강,초록들 국내산 간생강 다진생강 (250g/1kg),6000,1,2
7,간생강,해표 리얼큐브23g x3개 다진마늘/다진청양고추/다진생강/동결건조,10500,2,2
7,간생강,냉동다진 채소 큐브 3종(마늘/청양고추/생강) 각10개씩,14800,3,2
7,간생강,깐생강 (봉),1990,1,3
7,간생강,국산 냉동 다진생강 큐브 (170G),5490,2,3
7,간생강,다진 생강 (100g),3790,3,3
8,간수,천일염(짠도리 간수미제거 20k),57760,1,1
8,간수,간수뺀 깨끗한 식용 굵은 천일염 소금 20kg 천일소금,22620,2,1
8,간수,간수뺀 깨끗한 식용 굵은 천일염 소금 20kg 천일소금,22620,3,1
8,간수,두부용 식용 간수 1000ml,9900,1,2
8,간수,두부용 식용 간수 500ml,6900,2,2
8,간수,간수로만든몽글순두부 500g,3880,3,2
8,간수,살라 salra C7 소금 프리미엄 선물세트 /간수없는 이집트암염,75000,1,3
9,간장,대상 청정원 두번달여 더 진한 진간장 골드 1.7L,10270,1,1
9,간장,샘표 양조간장 701 1.7L,17010,2,1
9,간장,샘표 진간장 금 F-3 500ML,3760,3,1
9,간장,두번달여더진한 진간장 1.7L,9380,1,2
9,간장,[샘표] 진간장 금F3 860ml,5180,2,2
9,간장,[샘표] 진간장 금F3 (500ml),3880,3,2
9,간장,샘표 진간장 금F-3 (500ML),3760,1,3
9,간장,샘표 새미네부엌 진간장 (1.7L),11900,2,3
9,간장,샘표 진간장 금F-3 (860ML),6160,3,3
10,갈비,USDA 초이스 냉장 찜갈비(미국산) 100G/소고기,2900,1,1
10,갈비,USDA 초이스 꽃갈비살(미국산) 100G/소고기,8990,2,1
10,갈비,보리먹고 자란 돼지 등갈비(캐나다산) 100G/돼지고기,2700,3,1
10,갈비,[피코크]삼원가든 LA 꽃갈비 600g,18980,1,2
10,갈비,[냉장] 김해축협 한돈 양념 앞다리 칼집구이 700g,15900,2,2
10,갈비,[냉동/미국산] 냉동 LA갈비 구이용 (1.4kg),69800,3,2
10,갈비,국내산 돼지 등갈비 (냉장) (100G),2590,1,3
10,갈비,12정품 돼지 갈비 찜용(냉장) (100G),1890,2,3
10,갈비,12정품 돼지 등갈비 (냉장) (100G),3490,3,3
11,갈치,제주은갈치 2마리(대/행사/해동),13200,1,1
11,갈치,삼다 제주갈치살 400G(팩),15900,2,1
11,갈치,제주은갈치 마리(대/행사/해동),6600,3,1
11,갈치,[5680 → 4280원 할인][해동][국산] 제주 은갈치 (대 마리),4280,1,2
11,갈치,[해동][국산] 손질 제주 은갈치 (중 300g),14800,2,2
11,갈치,[해동][국산] 한마리 손질 제주은갈치 (특대) (370g 내외),24800,3,2
11,갈치,제주 은갈치 (대) (마리),5400,1,3
11,갈치,제주갈치 (특대/해동) (마리),11000,2,3
11,갈치,제주 생물 은갈치 (특대) (마리),9900,3,3
12,감동젓,신안 창란젓갈 230g x 2통,17900,1,2
12,감동젓,신안 오징어젓갈 230g x 2통,17900,2,2
12,감동젓,신안 창란젓갈 230g x 2통,18900,3,2
13,감자,밀양 감자 1.5KG(봉),13990,1,1
13,감자,밀양 하우스 감자 900G(봉),5990,2,1
13,감자,친환경 감자 500g봉,4290,3,1
13,감자,유명산지 감자 1kg내외(봉),5980,1,2
13,감자,유명산지 감자 2kg내외 (박스),9990,2,2
13,감자,실속감자 1kg내외(봉),3980,3,2
13,감자,감자 (100G),790,1,3
13,감자,감자 (900G),5990,2,3
13,감자,포근포근 감자 3kg (대),11900,3,3
14,감자전분,홈플러스시그니처 감자맛전분 400G,3190,1,1
14,감자전분,홈플러스시그니처 국산감자맛전분 400G,5490,2,1
14,감자전분,감자전분(한가람 20K),92360,3,1
14,감자전분,노브랜드 감자맛전분99.9 350g,2580,1,2
14,감자전분,[성진] 감자전분맛 400g,3380,2,2
14,감자전분,배대감 감자맛전분 350g,4880,3,2
14,감자전분,요리하다 감자맛전분 (400G),2990,1,3
14,감자전분,요리하다 감자맛 전분 (400G*2입),4980,2,3
14,감자전분,[자연의선택] 감자전분 1kg(지퍼팩),12000,3,3
15,갑오징어,생물 갑오징어(국산/대) 마리,8700,1,1
15,갑오징어,[산지직송] 손질 갑오징어 500g + 500g(16-20미),29900,2,1
15,갑오징어,[산지직송] 손질 갑오징어 500g(8-10미),17900,3,1
15,갑오징어,[냉동][베트남] 손질 갑오징어 (540g/팩),14980,1,2
15,갑오징어,[냉동][인도네시아] 손질 갑오징어 (540g),14980,2,2
15,갑오징어,별보다 참오징어 (40g),6980,3,2
15,갑오징어,생물 갑오징어 (100G),1990,1,3
15,갑오징어,송도씨 간편한 손질 갑오징어 1kg(소사이즈/냉동),15900,2,3
15,갑오징어,송도씨 간편한 손질 갑오징어 1kg(대사이즈/냉동),22900,3,3
16,갓,대상 종가집 갓김치 400G,8290,1,1
16,갓,예소담 특갓김치 1KG,11900,2,1
16,갓,드립핑크 갓볶은 파푸아뉴기니 블루마운틴 원두커피 1kg(드립분좨),30700,3,1
16,갓,갓김치 400g,8680,1,2
16,갓,깔끔한 남도의참맛 별미가 여수 갓물김치 2kg,12900,2,2
16,갓,깔끔한 남도의참맛 별미가 여수 갓치미김치 2kg,11900,3,2
16,갓,갓 수확한 그대로 CA저장 양파 (2KG),6200,1,3
16,갓,모닝빵 (10EA),4200,2,3
16,갓,로만밀통밀식빵 (EA),2990,3,3
17,강력분,CJ 신 강력분 1KG,2350,1,1
17,강력분,CJ 신 강력분 2.5KG,5650,2,1
17,강력분,곰표 강력밀가루 1KG,2280,3,1
17,강력분,[백설] 강력 밀가루 (빵용) 1kg,2480,1,2
17,강력분,곰표 강력 밀가루 1kg,2380,2,2
17,강력분,[큐원] 밀가루 강력분 1kg,2480,3,2
17,강력분,초이스엘 강력 밀가루 (1KG),2290,1,3
17,강력분,키알라 유기농 밀가루(강력) (1KG),8180,2,3
17,강력분,백설 밀가루 (제빵용) (2.5KG),5650,3,3
18,건블루베리,동우 건 블루베리 400G (봉),12900,1,1
18,건블루베리,넛츠앤 지퍼팩 건블루베리 200g 2개,16220,2,1
18,건블루베리,넛츠앤 지퍼팩 건블루베리 200g 1개,8550,3,1
18,건블루베리,건블루베리 350g,14500,1,2
18,건블루베리,건블루베리 500g,13880,2,2
18,건블루베리,[SSG]건블루베리200g,9990,3,2
18,건블루베리,건블루베리 (300G),10900,1,3
18,건블루베리,건블루베리 (160G),5000,2,3
18,건블루베리,건 블루베리 (453/봉),11980,3,3
19,건새우가루,더펫플러스 국내산 새우가루 1kg - 반려견간식 영양제,65920,1,1
19,건새우가루,국내산 새우 분말 가루 파우더 250g,6000,2,1
19,건새우가루,새우분말 80g,8000,1,2
19,건새우가루,두절새우 S 150gx5봉,27200,2,2
19,건새우가루,천연조미료 모음전 멸치가루 분말 마늘 새우 홍합 양파 표고 국물 육수용 11종,5900,3,2
20,건포도,건포도 1KG (봉),8990,1,1
20,건포도,삼양사 큐원 건포도 150G,3490,2,1
20,건포도,넛츠앤 지퍼팩 건포도 200g 2개 견과류,6200,3,1
20,건포도,달콤하게 말린 플레임 건포도 180g,3490,1,2
20,건포도,썬뷰 유기농 건청포도 스낵팩 198g(14.14g x 14개),6880,2,2
20,건포도,달콤한 건포도 (300g/봉),4990,3,2
20,건포도,건포도 (800G),9990,1,3
20,건포도,건포도 (300G),4990,2,3
20,건포도,건포도 (180G),3990,3,3
21,검은깨,예천농협 옹골진 국내산 잡곡 흑임자 600g,30900,1,1
21,검은깨,수입산 검정참깨 4kg,44900,2,1
21,검은깨,국내산 감자로 만든 검은깨 감자옹심이 1kg,14900,3,1
21,검은깨,친정엄마 볶음검정깨 200g,5180,1,2
21,검은깨,50년전통대현상회 국산 볶은 검은깨,16900,2,2
21,검은깨,다들림 볶음 검정깨 1kgx1팩 /볶은 흑임자 검은깨 흑깨,14000,3,2
21,검은깨,CJ 모닝두부 검은깨&피넛소스 (150G),1790,1,3
21,검은깨,베지밀 검은콩과 검은참깨 두유 (190ML*24입),30000,2,3
21,검은깨,맛있는두유GT 검은콩깨 (190ML*16입),16800,3,3
22,게,꽃게 (국산/특대/해동) 100G,2150,1,1
22,게,알이찬 손질암꽃게(국산/해동) 100G,2080,2,1
22,게,꽃게 (국산/중/해동) 마리,2950,3,1
22,게,[냉동][국산] 엄선된 국산 알배기 꽃게 (700g 내외),24800,1,2
22,게,[해동][국산] 엄선한 국산꽃게 (100g),1680,2,2
22,게,[냉동][러시아] SSG 대게 섹션 (400g 2쪽),39600,3,2
22,게,간편손질 국산꽃게 (500G),13900,1,3
22,게,꽃게 (중) (100G),1190,2,3
22,게,송도씨 간편한 손질꽃게 1kg(국산/냉동),23400,3,3
23,게맛살,ANF 고양이 참치 게맛살캔 95G,1900,1,1
23,게맛살,[펀쿡] 크래비 게맛살 150g * 10팩,13900,2,1
23,게맛살,[펀쿡] 아쿠아 프리미엄 게맛살 1kg,6900,3,1
23,게맛살,노브랜드 맛있는 김밥용맛살 165g,1480,1,2
23,게맛살,[한성]크래미145g*2입기획,5980,2,2
23,게맛살,[노브랜드] 크라비 맛살 150g,1580,3,2
23,게맛살,사조대림 게맛살 큰잔치 (216G),2160,1,3
23,게맛살,게맛살 큰잔치 1kg,6800,2,3
23,게맛살,[사조대림] 게맛살 큰잔치 150g,2000,3,3
24,게살,티아시아 게살 푸팟퐁커리 전자레인지용 170g,3490,1,1
24,게살,씨제이 고메 중화 게살볶음밥 840G,11990,2,1
24,게살,오즈키친 게살 크래미 주먹밥 500G,7990,3,1
24,게살,[대림] 스노우크랩킹오리지널140g*2,5980,1,2
24,게살,[대림] 스노우크랩킹버터갈릭140g*2,5980,2,2
24,게살,[한성]몬스터 크랩 142g*2,5980,3,2
24,게살,샘표 티아시아 게살 푸팟퐁 커리 (170G),3480,1,3
24,게살,아이배냇 순한덮밥소스 게살버섯 (50G),2000,2,3
24,게살,오뚜기 오즈키친 푸팟퐁카레 코코넛크림&게살 (180G),3980,3,3
25,겨자,대상 청정원 연 겨자 95G,3190,1,1
25,겨자,샘표 새미네부엌 닭가슴살겨자냉채소스 295G,3990,2,1
25,겨자,오뚜기 연겨자 100G,4090,3,1
25,겨자,[오뚜기] 허니 머스타드 소스 265g,3080,1,2
25,겨자,[REINE DIJON]홀 그레인 머스타드 190g,5980,2,2
25,겨자,[청정원] 홀그레인머스타드디핑소스 320g,4080,3,2
25,겨자,오뚜기 연겨자 (35G),1280,1,3
25,겨자,오뚜기 연와사비 (35G),1650,2,3
25,겨자,라무따드 홀그레인머스타드 (200G),3990,3,3
26,겨자가루,오뚜기 겨자분300gX12개(1박스),57430,1,1
26,겨자가루,오뚜기 연겨자100gX24개입(1박스)/연겨자/겨자/겨자분/와사비/와사비분,117400,2,1
26,겨자가루,[영흥식품] 오토 겨자분 200g,4600,3,1
26,겨자가루,조미료 겨자 가루 오뚜기 겨자분 소스 식당 재료 300g,8300,1,2
26,겨자가루,신선한 겨자가루 식자재도매 겨자분말 (200gX4개) 오뚜기,15820,2,2
26,겨자가루,겨자 조미료 겨자가루 식자재도매 겨자분말 솔표 200gX1개,8130,3,2
27,겨자잎,[가락시장 경매 식자재 채소] 적겨자잎 2kg/box,16000,1,1
27,겨자잎,[가락시장 경매 식자재 채소] 겨자잎 2kg/box,16000,2,1
27,겨자잎,적겨자 (봉),1990,3,1
27,겨자잎,가락시장 겨자잎 300g,5900,1,2
27,겨자잎,GAP 한끼모둠쌈(팩),2480,2,2
27,겨자잎,[온도씨&가락시장]쌈채소 모음전(상추로메인알배기깻잎겨자잎비트잎 外),998,3,2
27,겨자잎,[우리가락] 겨자잎 2kg,29500,1,3
27,겨자잎,[가락시장 경매 식자재 채소] 겨자잎 2kg/box,16000,2,3
27,겨자잎,[가락시장 경매 식자재 채소] 적겨자잎 2kg/box,16000,3,3
28,견과류,홈플러스 시그니처 구운 캐슈너트 350G(봉),9990,1,1
28,견과류,HBAF 캘리포니아 구운 아몬드 450G(봉),9990,2,1
