deal_date,large,medium,소,origin,income,가격
20230301,소,안심,1++등급,korea,15676,15676,15676
20230301,소,안심,1+등급,korea,14149,14149,14149
20230301,소,안심,1등급,korea,12350,12350,12350
20230301,소,등심,1++등급,korea,13981,13981,13981
20230301,소,등심,1+등급,korea,11185,11185,11185
20230301,소,등심,1등급,korea,9253,9253,9253
20230301,소,설도,1++등급,korea,4845,4845,4845
20230301,소,설도,1+등급,korea,4485,4485,4485
20230301,소,설도,1등급,korea,4226,4226,4226
20230301,소,양지,1++등급,korea,6747,6747,6747
20230301,소,양지,1+등급,korea,6043,6043,6043
20230301,소,양지,1등급,korea,5665,5665,5665
20230301,소,갈비,1++등급,korea,8629,8629,8629
20230301,소,갈비,1+등급,korea,7071,7071,7071
20230301,소,갈비,1등급,korea,8980,8980,8980
20230301,돼지,앞다리,앞다리,korea,1256,1256,1256
20230301,돼지,삼겹살,삼겹살,korea,2388,2388,2388
20230301,돼지,갈비,갈비,korea,1303,1303,1303
20230301,돼지,목심,목심,korea,2221,2221,2221
20230301,수입 소고기,갈비,미국산,income,3753,3753,3753
20230301,수입 소고기,갈비,호주산,income,3955,3955,3955
20230301,수입 소고기,갈비살,미국산,income,4431,4431,4431
20230301,수입 돼지고기,삼겹살,삼겹살,income,1478,1478,1478
20230301,닭,육계(kg),육계(kg),korea,5924,5924,5924
20230301,계란,특란10구,일반란,korea,3788,3788,3788
20230301,계란,특란30구,일반란,korea,6293,6293,6293
20230301,우유,흰우유,흰우유,korea,2878,2878,2878
20230302,소,안심,1++등급,korea,15675,15675,15675
20230302,소,안심,1+등급,korea,14123,14123,14123
20230302,소,안심,1등급,korea,12358,12358,12358
20230302,소,등심,1++등급,korea,13936,13936,13936
20230302,소,등심,1+등급,korea,11178,11178,11178
20230302,소,등심,1등급,korea,9251,9251,9251
20230302,소,설도,1++등급,korea,4843,4843,4843
20230302,소,설도,1+등급,korea,4483,4483,4483
20230302,소,설도,1등급,korea,4237,4237,4237
20230302,소,양지,1++등급,korea,6763,6763,6763
20230302,소,양지,1+등급,korea,6042,6042,6042
20230302,소,양지,1등급,korea,5662,5662,5662
20230302,소,갈비,1++등급,korea,8630,8630,8630
20230302,소,갈비,1+등급,korea,7083,7083,7083
20230302,소,갈비,1등급,korea,8980,8980,8980
20230302,돼지,앞다리,앞다리,korea,1255,1255,1255
20230302,돼지,삼겹살,삼겹살,korea,2386,2386,2386
20230302,돼지,갈비,갈비,korea,1302,1302,1302
20230302,돼지,목심,목심,korea,2221,2221,2221
20230302,수입 소고기,갈비,미국산,income,3759,3759,3759
20230302,수입 소고기,갈비,호주산,income,3979,3979,3979
20230302,수입 소고기,갈비살,미국산,income,4407,4407,4407
20230302,수입 돼지고기,삼겹살,삼겹살,income,1475,1475,1475
20230302,닭,육계(kg),육계(kg),korea,5924,5924,5924
20230302,계란,특란10구,일반란,korea,3806,3806,3806
20230302,계란,특란30구,일반란,korea,6302,6302,6302
20230302,우유,흰우유,흰우유,korea,2881,2881,2881
20230303,소,안심,1++등급,korea,14871,14871,14871
20230303,소,안심,1+등급,korea,13266,13266,13266
20230303,소,안심,1등급,korea,12194,12194,12194
20230303,소,등심,1++등급,korea,13057,13057,13057
20230303,소,등심,1+등급,korea,10656,10656,10656
20230303,소,등심,1등급,korea,9260,9260,9260
20230303,소,설도,1++등급,korea,4466,4466,4466
20230303,소,설도,1+등급,korea,4298,4298,4298
20230303,소,설도,1등급,korea,4075,4075,4075
20230303,소,양지,1++등급,korea,6653,6653,6653
20230303,소,양지,1+등급,korea,5606,5606,5606
20230303,소,양지,1등급,korea,5453,5453,5453
20230303,소,갈비,1++등급,korea,8670,8670,8670
20230303,소,갈비,1+등급,korea,7077,7077,7077
20230303,소,갈비,1등급,korea,8980,8980,8980
20230303,돼지,앞다리,앞다리,korea,1277,1277,1277
20230303,돼지,삼겹살,삼겹살,korea,2014,2014,2014
20230303,돼지,갈비,갈비,korea,1336,1336,1336
20230303,돼지,목심,목심,korea,1826,1826,1826
20230303,수입 소고기,갈비,미국산,income,3443,3443,3443
20230303,수입 소고기,갈비,호주산,income,4172,4172,4172
20230303,수입 소고기,갈비살,미국산,income,4397,4397,4397
20230303,수입 돼지고기,삼겹살,삼겹살,income,1477,1477,1477
20230303,닭,육계(kg),육계(kg),korea,5924,5924,5924
20230303,계란,특란10구,일반란,korea,3806,3806,3806
20230303,계란,특란30구,일반란,korea,6293,6293,6293
20230303,우유,흰우유,흰우유,korea,2879,2879,2879
20230304,소,안심,1++등급,korea,14856,14856,14856
20230304,소,안심,1+등급,korea,13247,13247,13247
20230304,소,안심,1등급,korea,12166,12166,12166
20230304,소,등심,1++등급,korea,13034,13034,13034
20230304,소,등심,1+등급,korea,10641,10641,10641
20230304,소,등심,1등급,korea,9252,9252,9252
20230304,소,설도,1++등급,korea,4466,4466,4466
20230304,소,설도,1+등급,korea,4293,4293,4293
20230304,소,설도,1등급,korea,4075,4075,4075
20230304,소,양지,1++등급,korea,6646,6646,6646
20230304,소,양지,1+등급,korea,5595,5595,5595
20230304,소,양지,1등급,korea,5446,5446,5446
20230304,소,갈비,1++등급,korea,8695,8695,8695
20230304,소,갈비,1+등급,korea,7092,7092,7092
20230304,소,갈비,1등급,korea,8980,8980,8980
20230304,돼지,앞다리,앞다리,korea,1277,1277,1277
20230304,돼지,삼겹살,삼겹살,korea,2017,2017,2017
20230304,돼지,갈비,갈비,korea,1338,1338,1338
20230304,돼지,목심,목심,korea,1827,1827,1827
20230304,수입 소고기,갈비,미국산,income,3445,3445,3445
20230304,수입 소고기,갈비,호주산,income,4172,4172,4172
20230304,수입 소고기,갈비살,미국산,income,4397,4397,4397
20230304,수입 돼지고기,삼겹살,삼겹살,income,1471,1471,1471
20230304,닭,육계(kg),육계(kg),korea,5911,5911,5911
20230304,계란,특란10구,일반란,korea,3806,3806,3806
20230304,계란,특란30구,일반란,korea,6293,6293,6293
20230304,우유,흰우유,흰우유,korea,2879,2879,2879
20230305,소,안심,1++등급,korea,14864,14864,14864
20230305,소,안심,1+등급,korea,13254,13254,13254
20230305,소,안심,1등급,korea,12167,12167,12167
20230305,소,등심,1++등급,korea,13048,13048,13048
20230305,소,등심,1+등급,korea,10645,10645,10645
20230305,소,등심,1등급,korea,9252,9252,9252
20230305,소,설도,1++등급,korea,4466,4466,4466
20230305,소,설도,1+등급,korea,4286,4286,4286
20230305,소,설도,1등급,korea,4075,4075,4075
20230305,소,양지,1++등급,korea,6645,6645,6645
20230305,소,양지,1+등급,korea,5596,5596,5596
20230305,소,양지,1등급,korea,5447,5447,5447
20230305,소,갈비,1++등급,korea,8695,8695,8695
