류, 감귤, 조생귤, 1, 0, 200.0
과채류, 딸기, 기타딸기, 1, 0, 2750.0
류, 사과, 후지, 1, 0, 315.0
류, 사과, 후지, 1, 0, 400.0
류, 기타, 라디초우, 1, 0, 337.5
작물류, 유채, 유채잎, 1, 0, 150.0
채류, 부추, 일반부추, 1, 0, 540.0
, 고구마, 기타, 1, 0, 228.0
류, 새송이, 새송이버섯, 1, 0, 325.0
채류, 봄동배추, 봄동배추, 1, 0, 153.33333
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 212.5
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 252.5
과채류, 딸기, 설향, 1, 0, 950.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
채소류, 대파, 대파, 1, 0, 263.0
류, 사과, 후지, 1, 0, 265.5
과채류, 딸기, 금실, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 오이, 가시오이, 1, 0, 580.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
류, 포도, 샤인마스캇, 1, 0, 700.0
류, 감귤, 조생귤, 1, 0, 70.0
류, 새송이, 새송이버섯, 1, 0, 170.0
류, 무, 저장무, 1, 0, 72.5
채류, 아욱, 아욱, 1, 0, 325.0
류, 기타, 라디초우, 1, 0, 75.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 표고버섯, 표고버섯, 1, 0, 775.0
류, 배, 신고, 1, 0, 240.0
류, 곶감, 기타곶감, 1, 0, 1166.6666
작물류, 유채, 유채잎, 1, 0, 150.0
채류, 시금치, 시금치, 1, 0, 280.0
류, 사과, 미시마, 1, 0, 200.0
류, 표고버섯, 생표고, 1, 0, 330.0
류, 무, 세척무, 1, 0, 45.0
류, 사과, 미얀마, 1, 0, 95.0
채소류, 쪽파, 쪽파, 1, 0, 200.0
류, 단감, 부유, 1, 0, 110.0
류, 포도, 샤인마스캇, 1, 0, 712.5
과채류, 딸기, 장희, 1, 0, 450.0
채소류, 쪽파, 깐쪽파, 1, 0, 520.0
채류, 깻잎, 깻잎, 1, 0, 450.0
채류, 상추, 꽃적상추, 1, 0, 250.0
류, 감귤, 조생귤, 1, 0, 400.0
류, 배, 신고, 1, 0, 146.66667
류, 감귤, 감귤, 1, 0, 140.0
류, 연근, 연근, 1, 0, 281.0
