류, 표고버섯, 표고버섯, 1, 0, 260.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 188.0
 해조류, 미역, 물미역, 1, 0, 112.5
류, 기타, 양채류, 1, 0, 3850.0
채류, 부추, 일반부추, 1, 0, 620.0
류, 호박, 쥬키니호박, 1, 0, 290.0
채류, 부추, 일반부추, 1, 0, 400.0
채류, 시금치, 섬초, 1, 0, 280.0
과채류, 딸기, 기타딸기, 1, 0, 600.0
채류, 부추, 일반부추, 1, 0, 640.0
류, 고사리, 기타고사리, 1, 0, 350.0
류, 감귤, 기타감귤, 1, 0, 175.0
류, 양상추, 양상추, 1, 0, 337.5
류, 무, 기타무, 1, 0, 60.0
과채류, 딸기, 죽향, 1, 0, 4000.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 218.75
류, 피망(단고추), 홍피망, 1, 0, 230.0
과채류, 방울토마토, 대추방울, 1, 0, 175.0
류, 호박, 쥬키니호박, 1, 0, 240.0
채소류, 풋고추, 청양, 1, 0, 880.0
채소류, 대파, 대파, 1, 0, 185.0
류, 호박, 단호박, 0, 0, 335.0
채류, 시금치, 시금치, 1, 0, 300.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 118.75
채류, 열무, 열무, 1, 0, 150.0
, 고구마, 밤고구마, 1, 0, 220.0
류, 느타리버섯, 느타리버섯, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 감귤, 비가림감귤, 1, 0, 240.0
류, 표고버섯, 표고버섯, 1, 0, 175.0
, 고구마, 기타, 1, 0, 255.0
채소류, 홍고추, 홍고추, 1, 0, 150.0
, 고구마, 밤고구마, 1, 0, 70.0
과채류, 딸기, 설향, 1, 0, 620.0
, 감자, 수미, 1, 0, 69.0
과채류, 딸기, 설향, 1, 0, 850.0
채류, 부추, 일반부추, 1, 0, 518.0
류, 피망(단고추), 청피망, 1, 0, 1100.0
채류, 시금치, 시금치, 1, 0, 280.0
류, 오이, 취청, 1, 0, 635.0
류, 새송이, 새송이버섯, 1, 0, 270.0
류, 피망(단고추), 홍피망, 1, 0, 540.0
채소류, 쪽파, 쪽파, 1, 0, 411.7647
과채류, 딸기, 설향, 1, 0, 800.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 225.0
채류, 시금치, 시금치, 1, 0, 300.0
류, 표고버섯, 표고버섯, 1, 0, 550.0
류, 무, 세척무, 1, 0, 37.5
, 고구마, 밤고구마, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 무, 세척무, 1, 0, 37.5
과채류, 딸기, 설향, 1, 0, 1285.0
류, 감귤, 조생귤, 1, 0, 120.0
류, 느타리버섯, 느타리버섯, 1, 0, 375.0
류, 단감, 부유, 1, 0, 140.0
류, 오이, 백다다기, 1, 0, 294.44446
류, 감귤, 조생귤, 1, 0, 140.0
류, 단감, 부유, 1, 0, 170.0
류, 감귤, 조생귤, 1, 0, 200.0
채류, 부추, 기타부추, 1, 0, 992.0
채류, 배추, 쌈배추, 1, 0, 170.0
, 고구마, 기타, 1, 0, 72.0
류, 바나나, 바나나, 0, 0, 253.84616
과채류, 딸기, 설향, 1, 0, 700.0
과채류, 딸기, 설향, 1, 0, 1415.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 930.0
과채류, 메론, 네트계, 1, 0, 326.25
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 150.0
, 고구마, 기타, 1, 0, 216.0
류, 사과, 미얀마, 1, 0, 244.5
류, 사과, 미얀마, 1, 0, 108.0
류, 사과, 미얀마, 1, 0, 119.5
과채류, 딸기, 금실, 1, 0, 1330.0
류, 사과, 미얀마, 1, 0, 169.5
과채류, 딸기, 설향, 1, 0, 700.0
류, 사과, 미얀마, 1, 0, 207.5
과채류, 딸기, 설향, 1, 0, 1520.0
류, 사과, 미얀마, 1, 0, 214.5
류, 사과, 미얀마, 1, 0, 119.5
류, 사과, 후지, 1, 0, 80.0
류, 사과, 미얀마, 1, 0, 210.0
류, 포도, 샤인마스캇, 1, 0, 700.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미얀마, 1, 0, 172.0
류, 사과, 미얀마, 1, 0, 249.0
류, 포도, 샤인마스캇, 1, 0, 700.0
과채류, 딸기, 금실, 1, 0, 1480.0
류, 감귤, 조생귤, 1, 0, 212.0
류, 배, 신고, 1, 0, 144.0
류, 사과, 후지, 1, 0, 260.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 포도, 샤인마스캇, 1, 0, 810.0
류, 감귤, 조생귤, 1, 0, 226.0
류, 기타, 양채류기타, 1, 0, 73.333336
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 212.5
류, 오이, 취청, 1, 0, 536.0
과채류, 딸기, 장희, 1, 0, 1030.0
과채류, 방울토마토, 대추방울, 1, 0, 433.33334
과채류, 딸기, 설향, 1, 0, 1100.0
류, 단감, 부유, 1, 0, 170.0
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 173.33333
류, 배, 신고, 1, 0, 166.66667
류, 배, 신고, 1, 0, 166.66667
류, 배, 신고, 1, 0, 186.66667
류, 감귤, 조생귤, 1, 0, 270.0
과채류, 딸기, 육보, 1, 0, 1000.0
류, 배, 신고, 1, 0, 193.33333
