류, 사과, 후지, 1, 0, 85.0
채소류, 풋고추, 청양, 1, 0, 910.0
과채류, 토마토, 대저토마토, 1, 0, 400.0
류, 사과, 미야비, 1, 0, 280.0
채소류, 쪽파, 쪽파, 1, 0, 265.0
류, 사과, 미얀마, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 299.0
류, 사과, 미얀마, 1, 0, 235.5
류, 사과, 미얀마, 1, 0, 124.5
류, 감귤, 비가림감귤, 1, 0, 220.0
류, 사과, 미얀마, 1, 0, 234.5
류, 사과, 미얀마, 1, 0, 352.5
류, 사과, 미얀마, 1, 0, 197.5
류, 감귤, 조생귤, 1, 0, 140.0
류, 사과, 미얀마, 1, 0, 182.5
류, 참다래(키위), 기타참다래, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 딸기, 설향, 1, 0, 1220.0
류, 감귤, 기타감귤, 1, 0, 66.0
류, 사과, 미얀마, 1, 0, 79.5
과채류, 토마토, 대저토마토, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 84.5
류, 배, 신고, 1, 0, 133.33333
류, 바나나, 바나나, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1346.6666
류, 사과, 미얀마, 1, 0, 395.0
채류, 배추, 쌈배추, 1, 0, 107.5
채소류, 꽈리고추, 꽈리고추, 1, 0, 775.0
류, 감귤, 비가림감귤, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 참다래(키위), 기타참다래, 1, 0, 280.0
류, 사과, 미얀마, 1, 0, 345.0
류, 사과, 미야비, 1, 0, 420.0
류, 감귤, 조생귤, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 1060.0
류, 감귤, 조생귤, 1, 0, 212.0
류, 단감, 부유, 1, 0, 330.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 참다래(키위), 기타참다래, 1, 0, 480.0
과채류, 딸기, 설향, 1, 0, 533.3333
류, 감귤, 천혜향, 1, 0, 383.0
류, 사과, 미얀마, 1, 0, 187.5
류, 사과, 미얀마, 1, 0, 359.5
채소류, 풋고추, 청양, 1, 0, 650.0
류, 오렌지, 기타오렌지, 1, 0, 355.0
채류, 냉이, 일반냉이, 1, 0, 540.0
류, 사과, 기타사과, 1, 0, 154.5
과채류, 토마토, 대저토마토, 1, 0, 300.0
류, 포도, 포도, 0, 0, 121.95122
류, 사과, 미얀마, 1, 0, 207.5
과채류, 딸기, 설향, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 1020.0
류, 감귤, 조생귤, 1, 0, 218.0
과채류, 딸기, 설향, 1, 0, 700.0
류, 감귤, 조생귤, 1, 0, 150.0
류, 사과, 미얀마, 1, 0, 219.5
류, 사과, 미얀마, 1, 0, 348.5
류, 사과, 미얀마, 1, 0, 150.0
류, 사과, 로얄부사, 1, 0, 450.0
류, 사과, 미얀마, 1, 0, 140.0
류, 사과, 미얀마, 1, 0, 234.5
류, 감귤, 조생귤, 1, 0, 266.0
채소류, 풋고추, 청양, 1, 0, 910.0
과채류, 토마토, 대저토마토, 1, 0, 266.66666
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 미얀마, 1, 0, 144.5
류, 배, 신고, 1, 0, 133.33333
류, 사과, 미얀마, 1, 0, 244.0
과채류, 딸기, 금실, 1, 0, 1360.0
류, 단감, 부유, 1, 0, 190.0
류, 사과, 미얀마, 1, 0, 195.5
류, 사과, 미얀마, 1, 0, 149.5
류, 사과, 미얀마, 1, 0, 374.5
류, 새싹, 새싹, 1, 0, 550.0
류, 사과, 미얀마, 1, 0, 205.0
류, 사과, 미얀마, 1, 0, 185.5
류, 피망(단고추), 피망, 1, 0, 1100.0
류, 감귤, 기타감귤, 1, 0, 100.0
