과채류, 딸기, 설향, 1, 0, 890.0
류, 감귤, 조생귤, 1, 0, 120.0
류, 감귤, 레드향, 1, 0, 411.1111
과채류, 딸기, 설향, 1, 0, 730.0
류, 사과, 미얀마, 1, 0, 370.0
류, 파인애플, 파인애플, 0, 0, 208.33333
류, 사과, 미얀마, 1, 0, 330.0
과채류, 딸기, 금실, 1, 0, 1800.0
류, 사과, 미얀마, 1, 0, 194.5
류, 사과, 미얀마, 1, 0, 226.0
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 533.3333
채류, 시금치, 시금치, 1, 0, 533.3333
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
과채류, 방울토마토, 대추방울, 1, 0, 300.0
과채류, 토마토, 기타토마토, 1, 0, 142.0
과채류, 방울토마토, 방울토마토, 1, 0, 365.0
과채류, 딸기, 설향, 1, 0, 1320.0
류, 배, 만풍, 1, 0, 108.0
류, 사과, 미얀마, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 1253.3334
류, 단감, 부유, 1, 0, 190.0
과채류, 토마토, 완숙토마토, 1, 0, 400.0
과채류, 토마토, 완숙토마토, 1, 0, 400.0
과채류, 토마토, 기타토마토, 1, 0, 158.0
류, 감귤, 감귤, 1, 0, 260.0
과채류, 딸기, 설향, 1, 0, 1080.0
류, 사과, 후지, 1, 0, 220.0
류, 감귤, 조생귤, 1, 0, 140.0
류, 단감, 부유, 1, 0, 220.0
과채류, 토마토, 토마토, 1, 0, 620.0
류, 사과, 후지, 1, 0, 210.0
과채류, 딸기, 설향, 1, 0, 510.0
류, 감귤, 조생귤, 1, 0, 120.0
류, 사과, 미얀마, 1, 0, 102.0
과채류, 딸기, 설향, 1, 0, 1550.0
류, 사과, 미얀마, 1, 0, 162.0
과채류, 딸기, 설향, 1, 0, 1650.0
류, 사과, 미얀마, 1, 0, 173.0
과채류, 딸기, 설향, 1, 0, 1650.0
류, 호박, 애호박, 1, 0, 511.875
과채류, 딸기, 설향, 1, 0, 2100.0
류, 가지, 가지, 1, 0, 525.0
과채류, 딸기, 설향, 1, 0, 2100.0
류, 사과, 미얀마, 1, 0, 171.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 호두, 기타호두, 1, 0, 600.0
류, 사과, 미얀마, 1, 0, 213.0
류, 감귤, 조생귤, 1, 0, 352.0
류, 사과, 미얀마, 1, 0, 258.0
과채류, 딸기, 설향, 1, 0, 1260.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 사과, 후지, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미얀마, 1, 0, 263.0
류, 포도, 샤인마스캇, 1, 0, 750.0
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 사과, 미얀마, 1, 0, 280.0
류, 마, 기타마, 1, 0, 129.0
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 사과, 미얀마, 1, 0, 252.5
류, 포도, 샤인마스캇, 1, 0, 750.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 떫은감, 대봉시, 1, 0, 110.0
류, 단감, 부유, 1, 0, 266.0
류, 사과, 미얀마, 1, 0, 108.0
류, 사과, 미얀마, 1, 0, 369.5
과채류, 딸기, 설향, 1, 0, 1400.0
류, 사과, 후지, 1, 0, 315.0
류, 단감, 기타단감, 1, 0, 280.0
채류, 미나리, 돌미나리, 1, 0, 425.0
류, 사과, 미얀마, 1, 0, 135.5
류, 파인애플, 파인애플, 1, 0, 225.0
채류, 배추, 기타배추, 1, 0, 53.0
류, 자몽, 자몽, 0, 0, 153.33333
류, 단감, 부유, 1, 0, 155.0
류, 감귤, 레드향, 1, 0, 411.1111
과채류, 딸기, 설향, 1, 0, 1000.0
류, 포도, 샤인마스캇, 1, 0, 385.0
채류, 미나리, 돌미나리, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1420.0
류, 밤, 기타밤, 1, 0, 550.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 사과, 미얀마, 1, 0, 150.5
과채류, 방울토마토, 대추방울, 1, 0, 600.0
류, 감귤, 조생귤, 1, 0, 160.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 딸기, 설향, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 1550.0
류, 사과, 후지, 1, 0, 269.5
류, 감귤, 조생귤, 1, 0, 150.0
채류, 미나리, 돌미나리, 1, 0, 450.0
류, 감귤, 조생귤, 1, 0, 272.0
류, 사과, 미얀마, 1, 0, 172.5
류, 사과, 후지, 1, 0, 231.0
과채류, 토마토, 완숙토마토, 1, 0, 250.0
류, 만감, 한라봉, 1, 0, 406.66666
류, 감귤, 조생귤, 1, 0, 220.0
과채류, 방울토마토, 대추방울, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 감귤, 조생귤, 1, 0, 130.0
과채류, 딸기, 설향, 1, 0, 1380.0
류, 사과, 미얀마, 1, 0, 284.5
과채류, 딸기, 금실, 1, 0, 1700.0
류, 사과, 미얀마, 1, 0, 298.0
채류, 미나리, 돌미나리, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 감귤, 레드향, 1, 0, 555.55554
류, 감귤, 조생귤, 1, 0, 250.0
류, 떫은감, 대봉시, 1, 0, 110.0
류, 사과, 미얀마, 1, 0, 151.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 토마토, 완숙토마토, 1, 0, 250.0
류, 감귤, 조생귤, 1, 0, 160.0
과채류, 딸기, 설향, 1, 0, 570.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 사과, 미얀마, 1, 0, 165.0
과채류, 딸기, 설향, 1, 0, 450.0
류, 망고, 망고, 1, 0, 960.0
류, 감귤, 조생귤, 1, 0, 130.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 배, 신고, 1, 0, 160.0
류, 감귤, 레드향, 1, 0, 555.55554
류, 사과, 후지, 1, 0, 132.0
류, 사과, 미얀마, 1, 0, 144.5
류, 사과, 미얀마, 1, 0, 209.5
