230315, 과일과채류, 딸기, 기타딸기,1,0,450,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,275,,,
230315, 과실류, 감귤, 천헤향,1,0,360,,,
230315, 과채류, 오이, 가시오이,1,0,340,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,120,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,207.5,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,400,,,
230315, 과일과채류, 토마토, 기타토마토,1,0,280,,,
230315, 농림가공, 곡물제조, 두부,0,0,190,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,212.5,,,
230315, 엽경채류, 양배추, 양배추,1,0,40,,,
230315, 서류, 고구마, 기타,1,0,210,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,221.42857,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,110,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 농림가공, 곡물제조, 두부,0,0,158.33333,,,
230315, 과채류, 오이, 가시오이,1,0,259,,,
230315, 엽경채류, 깻잎, 깻잎,1,0,750,,,
230315, 서류, 고구마, 기타,1,0,150,,,
230315, 과일과채류, 토마토, 기타토마토,1,0,200,,,
230315, 과일과채류, 딸기, 설향,1,0,650,,,
230315, 과일과채류, 딸기, 설향,1,0,825,,,
230315, 서류, 고구마, 기타,1,0,150,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,347.5,,,
230315, 엽경채류, 고수, 고수,1,0,425,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 참외, 기타참외,1,0,920,,,
230315, 산채류, 참나물, 참나물,1,0,295,,,
230315, 엽경채류, 양배추, 양배추,1,0,50,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,120,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 과일과채류, 토마토, 토마토,1,0,360,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,300,,,
230315, 엽경채류, 양배추, 양배추,1,0,50,,,
230315, 엽경채류, 양배추, 양배추,1,0,50,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,293.75,,,
230315, 과일과채류, 딸기, 설향,1,0,700,,,
230315, 과실류, 포도, 기타포도,1,0,825,,,
230315, 근채류, 연근, 연근,1,0,215.1,,,
230315, 과실류, 감귤, 천헤향,1,0,420,,,
230315, 과일과채류, 방울토마토, 대추방울,1,0,233.33333,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,160,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과일과채류, 토마토, 토마토,1,0,240,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 과채류, 오이, 가시오이,1,0,176,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 엽경채류, 머위대, 머위잎,1,0,1075,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,280,,,
230315, 서류, 감자, 기타감자,1,0,95,,,
230315, 서류, 고구마, 기타,1,0,190,,,
230315, 과실류, 만감, 한라봉,1,0,266.66666,,,
230315, 과실류, 감귤, 천헤향,1,0,333.33334,,,
230315, 엽경채류, 배추, 쌈배추,1,0,62.5,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,248,,,
230315, 과실류, 포도, 포도,0,0,487.80487,,,
230315, 과실류, 사과, 후지,1,0,320,,,
230315, 과실류, 감귤, 천헤향,1,0,344.44446,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,275,,,
230315, 과일과채류, 딸기, 설향,1,0,900,,,
230315, 과일과채류, 딸기, 설향,1,0,700,,,
230315, 과일과채류, 토마토, 토마토,1,0,240,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,500,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 과실류, 포도, 기타포도,1,0,700,,,
230315, 양채류, 양상추, 양상추,1,0,369.25,,,
230315, 엽경채류, 쌈추, 쌈추,1,0,1111,,,
230315, 양채류, 아스파라가스, 녹색,1,0,1477,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,220,,,
230315, 엽경채류, 배추, 쌈배추,1,0,45,,,
230315, 과채류, 호박, 애호박,1,0,191.25,,,
230315, 과실류, 포도, 포도,0,0,487.80487,,,
230315, 과실류, 만감, 한라봉,1,0,305.55554,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,564,,,
230315, 과실류, 사과, 후지,1,0,340,,,
230315, 서류, 고구마, 기타,1,0,230,,,
230315, 과실류, 포도, 포도,0,0,487.80487,,,
230315, 과실류, 감귤, 천헤향,1,0,388.8889,,,
230315, 엽경채류, 쌈추, 쌈추,1,0,1111,,,
230315, 양채류, 아스파라가스, 녹색,1,0,1477,,,
230315, 엽경채류, 배추, 쌈배추,1,0,390,,,
230315, 과실류, 감귤, 천헤향,1,0,450,,,
230315, 엽경채류, 냉이, 일반냉이,1,0,337.5,,,
230315, 과일과채류, 방울토마토, 대추방울,1,0,333.33334,,,
230315, 과일과채류, 딸기, 설향,1,0,950,,,
230315, 과일과채류, 딸기, 설향,1,0,650,,,
230315, 과일과채류, 딸기, 설향,1,0,525,,,
230315, 과일과채류, 토마토, 토마토,1,0,280,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,164,,,
230315, 서류, 감자, 기타감자,1,0,155,,,
230315, 과실류, 만감, 한라봉,1,0,322.22223,,,
230315, 엽경채류, 배추, 쌈배추,1,0,100,,,
230315, 과실류, 감귤, 천헤향,1,0,455.55554,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,544,,,
230315, 과실류, 사과, 후지,1,0,350,,,
230315, 과채류, 호박, 애호박,1,0,182.5,,,
230315, 과일과채류, 참외, 금싸라기,1,0,780,,,
230315, 과실류, 감귤, 천헤향,1,0,488.8889,,,
230315, 과실류, 감귤, 천헤향,1,0,488.8889,,,
230315, 과채류, 호박, 애호박,1,0,237.5,,,
230315, 엽경채류, 배추, 쌈배추,1,0,203.75,,,
230315, 과일과채류, 토마토, 토마토,1,0,280,,,
230315, 과채류, 호박, 애호박,1,0,237.5,,,
230315, 서류, 고구마, 기타,1,0,210,,,
230315, 근채류, 연근, 연근,1,0,230,,,
230315, 과채류, 호박, 애호박,1,0,262.5,,,
230315, 서류, 고구마, 기타,1,0,220,,,
230315, 서류, 고구마, 기타,1,0,248,,,
230315, 과일과채류, 딸기, 설향,1,0,330,,,
230315, 과일과채류, 딸기, 기타딸기,1,0,500,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,150,,,
230315, 과실류, 사과, 미안마,1,0,280,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,337.5,,,
230315, 과실류, 감귤, 천헤향,1,0,466.66666,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,200,,,
230315, 과일과채류, 토마토, 토마토,1,0,280,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과실류, 포도, 기타포도,1,0,900,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,140,,,
230315, 과실류, 만감, 한라봉,1,0,366.66666,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,512,,,
230315, 서류, 감자, 기타감자,1,0,110,,,
230315, 과실류, 사과, 미시마,1,0,80,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과채류, 호박, 애호박,1,0,301.25,,,
230315, 과실류, 금감, 금감,1,0,200,,,
230315, 과일과채류, 토마토, 토마토,1,0,280,,,
230315, 과실류, 사과, 미시마,1,0,80,,,
230315, 서류, 고구마, 기타,1,0,165,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과실류, 포도, 기타포도,1,0,900,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,337.5,,,
230315, 과실류, 감귤, 천헤향,1,0,440,,,
230315, 서류, 고구마, 밤고구마,1,0,60,,,
230315, 산채류, 취나물, 취나물,1,0,600,,,
230315, 과일과채류, 딸기, 기타딸기,1,0,700,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,665,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 과실류, 사과, 미시마,1,0,90,,,
230315, 과실류, 사과, 미안마,1,0,370,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 과일과채류, 수박, 수박,1,0,345.45456,,,
230315, 과실류, 사과, 미시마,1,0,110,,,
230315, 과일과채류, 딸기, 설향,1,0,650,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,180,,,
