230316, 서류, 고구마, 기타,1,0,191,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 딸기, 장희,1,0,380,,
230316, 과실류, 배, 신고,1,0,180,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 엽경채류, 미나리, 미나리,1,0,157.5,,
230316, 엽경채류, 미나리, 미나리,1,0,262.5,,
230316, 엽경채류, 미나리, 미나리,1,0,262.5,,
230316, 엽경채류, 미나리, 미나리,1,0,262.5,,
230316, 엽경채류, 미나리, 미나리,1,0,262.5,,
230316, 엽경채류, 미나리, 미나리,1,0,262.5,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,770,,
230316, 과일과채류, 딸기, 설향,1,0,480,,
230316, 엽경채류, 상추, 청상추,1,0,300,,
230316, 과실류, 오렌지, 오렌지,0,0,280.2198,,
230316, 엽경채류, 상추, 기타상추,1,0,165,,
230316, 과일과채류, 참외, 오복,1,0,828,,
230316, 과일과채류, 딸기, 설향,1,0,500,,
230316, 과일과채류, 딸기, 장희,1,0,550,,
230316, 과일과채류, 딸기, 기타딸기,1,0,460,,
230316, 조미채소류, 쪽파, 쪽파,1,0,157.14285,,
230316, 과일과채류, 딸기, 금실,1,0,800,,
230316, 과일과채류, 딸기, 금실,1,0,610,,
230316, 과실류, 사과, 후지,1,0,356,,
230316, 과일과채류, 딸기, 장희,1,0,620,,
230316, 과일과채류, 딸기, 설향,1,0,610,,
230316, 과일과채류, 딸기, 설향,1,0,1000,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,260,,
230316, 과실류, 배, 신고,1,0,266.66666,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,780,,
230316, 조미채소류, 풋고추, 청양,1,0,960,,
230316, 엽경채류, 상추, 기타상추,1,0,160,,
230316, 조미채소류, 쪽파, 쪽파,1,0,170,,
230316, 조미채소류, 쪽파, 쪽파,1,0,170,,
230316, 과일과채류, 딸기, 장희,1,0,780,,
230316, 과일과채류, 딸기, 설향,1,0,1300,,
230316, 과일과채류, 참외, 금싸라기,1,0,700,,
230316, 과일과채류, 딸기, 장희,1,0,230,,
230316, 과일과채류, 딸기, 설향,1,0,800,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,415,,
230316, 과일과채류, 딸기, 설향,1,0,800,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,415,,
230316, 과일과채류, 딸기, 설향,1,0,1150,,
230316, 엽경채류, 머위대, 머위나물,1,0,1230,,
230316, 과일과채류, 딸기, 장희,1,0,410,,
230316, 과실류, 감귤, 천혜향,1,0,453.33334,,
230316, 과일과채류, 참외, 오복,1,0,840,,
230316, 서류, 고구마, 기타,1,0,177,,
230316, 과일과채류, 딸기, 장희,1,0,920,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,820,,
230316, 조미채소류, 쪽파, 쪽파,1,0,180,,
230316, 조미채소류, 쪽파, 쪽파,1,0,180,,
230316, 과실류, 배, 신고,1,0,280,,
230316, 과일과채류, 딸기, 설향,1,0,300,,
230316, 과일과채류, 참외, 금싸라기,1,0,660,,
230316, 과일과채류, 딸기, 금실,1,0,830,,
230316, 엽경채류, 시금치, 시금치,1,0,125,,
230316, 조미채소류, 풋고추, 청양,1,0,1070,,
230316, 과실류, 사과, 후지,1,0,365,,
230316, 과일과채류, 딸기, 설향,1,0,1100,,
230316, 과일과채류, 딸기, 설향,1,0,1100,,
230316, 과일과채류, 토마토, 토마토,1,0,260,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,472.5,,
230316, 과일과채류, 딸기, 장희,1,0,230,,
230316, 엽경채류, 머위대, 머위나물,1,0,1200,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,800,,
230316, 과실류, 감귤, 천혜향,1,0,493.33334,,
230316, 과일과채류, 딸기, 장희,1,0,160,,
230316, 과일과채류, 참외, 금싸라기,1,0,690,,
230316, 조미채소류, 대파, 대파,1,0,186,,
230316, 엽경채류, 시금치, 시금치,1,0,133.33333,,
230316, 조미채소류, 대파, 대파,1,0,120,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,141,,
230316, 과일과채류, 딸기, 설향,1,0,420,,
230316, 과일과채류, 딸기, 기타딸기,1,0,380,,
230316, 조미채소류, 대파, 대파,1,0,120,,
230316, 과일과채류, 딸기, 장희,1,0,260,,
230316, 엽경채류, 시금치, 시금치,1,0,62.5,,
230316, 서류, 고구마, 기타,1,0,160,,
230316, 과일과채류, 참외, 오복,1,0,769,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,415,,
230316, 과일과채류, 참외, 오복,1,0,769,,
230316, 과일과채류, 딸기, 금실,1,0,1320,,
230316, 엽경채류, 시금치, 시금치,1,0,66.666664,,
230316, 과일과채류, 딸기, 금실,1,0,1110,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,800,,
